system_indicator|card_number|product_id|customer_number|embossing_name|embossing_date|card_valid_through|previous_valid_through|card_type_plastictipping|authorised_amount|authorised_amount_sign|first_usage_date|ytd_transaction_purch|ytd_transaction_purch_sign|ytd_transaction_cash|ytd_transaction_cash_sign|annual_charge_date|no_of_years_to_waive_annual|activation_flag|life_card_flag|activation_change_date|branch_number|application_type_1|application_type_2|facility_group_account_number|processing_group|credit_limit|credit_limit_sign|temporary_limit|temporary_limit_sign|current_balance|current_balance_sign|balance_carried_forward|balance_carried_forward_sign|amount_due|amount_due_sign|total_payments_since_cutoff|total_payments_since_cutoff_sign|amount_in_arrears_1_period|amount_in_arrears_1_period_sign|amount_in_arrears_2_periods|amount_in_arrears_2_periods_sign|amount_in_arrears_3_periods|amount_in_arrears_3_periods_sign|amount_in_arrears_4_periods|amount_in_arrears_4_periods_sign|amount_in_arrears_5_periods|amount_in_arrears_5_periods_sign|amount_in_arrears_6_periods|amount_in_arrears_6_periods_sign|amount_in_arrears_7_periods|amount_in_arrears_7_periods_sign|amount_in_arrears_8_periods|amount_in_arrears_8_periods_sign|statement_type|statement_indicator|opening_date|manual_limit_adj_flag_1|manual_limit_adj_flag_2|latest_due_date|latest_period_processed|payoff_flag|block_code_date|arrear_level|from_acct_no|debit_type|number_of_times_x29_days_in|number_of_times_3059_days_i|number_of_times_6089_days_i|number_of_times_90119_days|number_of_times_120149_days|number_of_times_150179_days|number_of_times_180209_days|number_of_times_210239_days|ac_into_collection_date|old_card_number_1
ebhyunpvxn|whqoicdouiiaemrn|nybytn|stgigjextfyezaqjhdxkfteodurhsc|apknvafobyxzaaqzoykopjblis|48853738|daqruv|vcvoye|h|71909408880|p|12423948|02361678139|c|58978472275|s|irldnk|m|wa|o|85742177|uvgi|w|l|uxmedglplwqvkhby|vb|22459307437|o|53804399349|o|40005239497|f|79390987072|i|30604595490|b|69867339831|j|08653566096|g|31686058632|y|81828817790|w|20265467179|h|91031350490|p|46817447984|a|91908627080|u|46540715935|r|vafvkjkckkscfmqk|w|23269644|10789741|76582891|47524801|47191146|21430934621|16754216|epf|pgttjkosan|q|elw|ark|rjz|okl|hax|pkr|rex|avh|57966667|urhhwrnvtcefwjno
uefthtkjkm|ncksuvjweyllramf|cqdaeu|fjmzlyhjxteypnghtegivfstisnsyw|fcbnmtqlphaxghffmtlgcvtsff|24798631|pfetsi|ttdjrl|r|06721374441|e|00254829|74090131537|k|96558044596|s|bxzebu|n|xr|w|09716783|jfex|a|e|ddzitmgzasylhsrj|xa|93270196335|u|69502331780|n|63283273813|e|41014463805|i|00571096722|g|38036486589|f|72188933871|i|53188075855|u|69925978392|v|75408792600|m|02843638697|m|93534040622|f|66237355333|a|16563368567|h|wduavwwfwyehqijh|y|59351656|61080747|46729342|72907335|92215103|06586251006|16956681|snb|qgtcetjvzz|h|duv|fmx|xqj|tew|mcj|gya|oor|pop|43865731|yznwckbcfyxplvsv
zhqatfegkj|rbyzuqdkkpqhjxzs|oxqpmb|amjhzbfieuqrrljhdvohqxipxotewa|hykkanuqcanrfwrxpugisuqwyt|19332242|qtuilo|cgkcpz|a|33302764826|d|71390864|86004541990|k|54429864412|s|brrben|u|fd|j|15385901|ygcu|a|r|fcoflpjmufiunyei|pi|13937366353|u|28509876392|g|42009379838|j|30500430061|d|01462386557|k|23101549847|p|41736694934|o|62555295248|o|64168838107|y|62412957244|q|39956980737|t|99367927905|n|45802589259|r|65481621733|a|oisqtttxrskahzha|t|33720525|06497732|17234069|67129159|09973886|03317085963|22830348|qtr|smgkcnkwdn|e|phx|bje|aio|zpg|sqa|pyk|tqc|gad|24822888|hpxjftffdnvknngo
dxirbcdgwh|gmxkyejvytifixjr|msevxy|gsicaqcbssoigtaiyitnjjweaurzhu|lzbdedjnghtrxlrylbufjgowkz|56866684|vwuobc|pnumzj|j|27872886820|a|16210963|09627514407|j|23231339336|w|mwcpnv|d|pu|q|47555701|gtam|l|q|vfiwmdohxqbvgjlv|rx|10741901411|r|73600180374|g|63518297564|r|02907923868|r|78277066726|c|11939740120|p|71937994555|n|30531867498|u|48920086321|z|99363884905|a|05279042100|b|08898952063|n|78919465597|y|86197474427|i|ahjtribmlsrnozvi|e|74013624|24567671|49394560|46852582|76068642|00930956043|64172936|cfd|peegcuksmg|q|rze|ygm|jrf|hbe|awg|qlb|std|rep|64306324|oaxniotgernghxle
ycjkxfrklc|aroavyfvmfcwhypo|rfrhdc|bnbzjtpjkkbpmoovmuqasvxvamcrbp|qtutysyvoczasscsbegdcbjahb|19240831|cwiwvo|eafhct|v|89219757416|l|38560464|96709746122|j|28372111896|p|azbsay|r|su|z|27488683|bewb|c|l|rkbmbbyqxxlopxum|nq|98236192980|n|93949567142|q|36618165453|f|06715017587|p|63585495376|m|88651366999|u|41259582920|k|59130169586|c|45214654701|c|28963213085|k|87555492426|m|12585842553|m|46688424816|q|00542121266|y|tthghewcghtzltgp|w|27405031|24754999|77492581|94048251|52038856|57932896932|13962078|asz|hvoxnzqcny|o|gno|lvw|azy|zpd|fbt|nok|iti|eso|66898412|xvswiyqiuqikiokf
dhepjotjdd|zijilagzquosczjc|atnpbw|xujzawstycewbblzwegotngofodtjt|narqhtlnplxkibdppqugbbppva|62384894|knmkwn|jeqaro|o|09509917191|y|51555412|33918987797|x|94750793251|r|txqhdn|u|ya|y|01639701|vjlx|n|y|gqfwenydaoyyywqb|jv|81417139664|x|65593636028|t|52010276740|s|38947115894|x|81712804844|d|81527017024|a|75997214149|g|43188769878|s|17441075187|m|66278652135|i|02101645290|d|94993941188|p|55702827553|y|09670284663|z|dgmmywisjcnbhukl|m|10997768|01240034|14280298|51916781|28496593|17978553859|77942002|egb|pzcbroxgtt|w|lvq|lzf|mwl|jvp|qjo|wow|tmf|lot|74906443|czeecvadfaozzlse
myypbwpbdc|kaqeawfdgqspkndj|uunkwj|xnvdkqrgezoqfbgarkcblsbjgbfcuv|hyxrkwjoujvyrqvdkpwwufrknt|43993744|onltcv|mgqmyj|g|57282482363|m|13277153|36913447793|o|12172313182|r|ddlkjq|r|qv|b|68166845|zslf|o|g|itlajbrvclxvggcz|xe|78758419519|h|93270586989|q|36312642101|t|74671973275|r|22861378672|l|42048144804|l|14071805237|p|47649424539|r|47110635095|l|76972366258|r|02887421393|t|39666928228|m|22708905536|s|96225980203|u|yocrrvzvfciyodpk|d|52177805|02377987|03972403|27877857|92609758|22679746559|81437134|qmi|bnmdussocb|l|icd|ptd|dux|xgn|ssg|ylj|akr|xxp|56483834|hdhcxxltvuvdfzco
kkjdfarlnp|ixtxtezguiyfsnky|hxcnvr|ushdzgrphjkhighrpybkywnhbbjxbu|uevbjgspuhhygwscgykzygidbo|00956417|juxrkr|wydpzb|z|41422835401|n|82340926|99347907768|a|23228211587|s|kngczy|y|tg|w|10379978|fvyi|w|z|djjktozpxgsebufc|iu|39895559548|v|55280252252|j|19956767739|m|77650070230|x|37575739357|r|15173997030|f|97029572951|x|65551701438|b|78414922586|e|24676880261|x|63891745195|j|49159179149|o|98413556654|g|93653406625|u|wuamnmpnjqrlvhyx|f|90280985|19055965|96803503|20769141|19498975|00908660153|89403271|xpk|lzkppdqxpn|q|doa|ayg|udq|bvr|ewy|vpy|hfh|dvy|48708128|dwpdtaghqyakualy
bigdmqjzhw|slpsvxojckiqbhzc|jxrfys|sfveuigjfaddkprhqeqrejhvxjruaw|yinkhgbtjusxrhhdmwqmtisufy|73790243|wivhek|czlvxw|b|93045062194|a|90773589|72894422885|n|57612224774|e|uzrnva|h|ew|w|62912884|ongd|m|z|ryysmitghulmaufx|fd|96517188185|v|72642237776|h|09201282569|z|21710022402|l|88924541078|b|98586755543|m|14443284800|n|07920479845|l|13944407148|k|80905477492|c|28738784475|i|76625702407|u|65873284232|c|22525969494|v|sbzwtwemsdgmohko|m|33400399|27504148|20597321|90494608|58556299|31479946057|68442423|yem|xprhuntvbp|x|vdp|ebm|opv|xsa|zut|klu|hff|hje|08613913|ocmhwgaifvbngkwc
zjgyabxtro|crthdmaozhqxqohn|qhouix|hvbxfqebsohayggjgcgvhyatgisybx|szgkpbtxixnzhoyzakhykqdgpe|79992679|qwaxrx|xntvuv|w|09690707996|d|82919128|77473445058|g|39002243469|q|qxbybi|d|dq|u|70562314|luuo|w|b|aptsustvbvlpymtb|ya|64664146837|i|86133821258|c|76679758789|j|43153174131|q|53839586467|p|59456478463|u|58951763108|e|58214145914|a|13344152542|e|74238666205|l|05664832718|e|06406202342|s|48779512520|a|87683943217|x|xkkprprjdqqkbtfw|v|58076007|95485448|04346872|62630375|33847464|94499123583|08602834|bpb|esmmvvsxrm|r|nrb|epw|jto|fvc|tbg|qao|dfw|kvh|67868998|lwgkbkwqwtqyncno
tmcitqsxhn|vvidnpmxrcmpuulv|obrqed|mhswcsnowfgjilcvacxnuaqewyqerf|bvnwcliknvuorzaocuhybpmqpg|01757558|ukgnuj|lqjvjh|u|71251331249|f|09231015|94403768727|v|29358146869|s|hvonqa|x|yv|u|03900784|twte|b|n|acogxprnyyeglvoe|ml|62581793696|r|37934299584|i|06669733142|o|80013190250|m|18988160834|a|20908476123|u|20455482218|l|12625326373|c|65772650465|l|78591514640|s|37129346400|k|72433748763|a|51140308075|s|04536210873|h|jizngreqbahruzej|h|79219066|14917311|26330633|34932303|36605365|76922721795|45072091|erf|lasyorxxrg|v|ccu|zha|qrd|ihz|wof|qkj|jrs|zqc|19119553|doynwxkjoiovowgd
iqfljnavth|yogdkgchlnznruea|qbmppr|nmvafluiklbbjjxfnfopuytldkfznw|tvtcfwvgbnnjuptewmxkluvnoj|46536854|kjnphg|ehbqre|z|68947575667|d|68127762|28797312133|l|34605684474|l|vzwszl|w|vu|l|35891088|vqey|o|j|ijabwygbdjmkydmh|vk|98206989272|z|03990490354|x|60709346223|d|33695799474|w|08624312393|l|21295701177|k|60327707217|v|80276702025|d|14278240450|t|97474462626|j|45068315073|k|38073705149|j|35384874772|q|12996951739|i|qxnibpofhxnrzirv|r|78493993|51260352|05159985|34190108|27134095|92765089179|34912370|lux|guvzdvqsez|p|ezq|ubx|nrf|lxq|hty|blw|yjd|tmv|45501452|fqniqkuvgnpixwsb
fbqqazceht|uhocsdaurnjxcqzd|rxuvgc|jrepejunlrvuifotgnhdysjooudfao|hhtukxzymgqzxsltipzxbegetj|83042931|sktgzw|rhmfkz|a|12282564654|x|64170920|15712190069|h|35807279380|e|yaqvez|s|nu|g|65938870|gesx|x|m|obzutvxfkomkpniw|ej|90102313437|r|55678790952|m|24624162866|p|47081476222|l|97807908859|z|94292670330|m|69938680610|a|00932763805|a|98410937960|n|02390670982|t|97322400426|b|78319707099|v|12612317531|r|78082638432|f|mpuztukvvcpczjgn|m|97950848|19060525|70753219|87949316|25098439|56533738990|53052866|fxn|lcxeymrakk|b|tul|kpe|hmy|qch|bxg|qsb|wxw|thz|42796518|jklxdixjozugemnd
jdjumevodb|rspuyeqscmadaiqj|hqcsby|nqpfuzubpsyaxoveohevdsqilzzcfl|hidpgyuitekvcehxitunnxpfwe|63300083|ktntdh|dlfbjm|q|47916461569|u|21721251|67525236045|f|55159024816|n|dwdwqp|n|ka|h|77643555|ensn|g|q|cawtotmpsrxpnwkg|ar|73088411154|d|71022555512|x|98567767946|e|59713022024|u|57304133257|w|35868979415|w|24062523508|x|67484935628|f|00670801043|z|32682437058|p|66990103438|t|75290681767|a|53185106640|t|92640661449|b|bogmnwfblzzbjcho|u|71504339|61598228|44286910|97794275|89536127|15004364857|06325194|auh|dlxgydbdxr|r|asx|ozg|fzh|iga|dco|qfz|wsw|rsh|06241783|hucemrukouegtwex
yoodibsrgo|zughcrkvxjaelksn|yossvj|kvuehfagpjuxikjpnjedpzikwmecpf|bgsvfktdxlbuomuaypbrtwzuyw|81820431|sxsukf|fnbsjj|x|22964167221|s|97247296|85356217718|u|40538787921|m|lhgfnp|a|jj|f|79415589|uavr|l|l|twhlyjrzpihujaqj|mt|70885135164|z|04360620684|r|63984643900|d|21209644418|z|62728340887|l|54572192388|e|60462320108|b|24643485760|b|94494498013|u|57004841449|j|10984248206|g|55862134644|d|14231550843|n|43899424658|f|uftqogaymnigtsub|x|39033495|64497305|50232651|02075561|12581214|31393282684|53714154|bex|aaisovqayx|s|tpo|zmf|ina|ydt|lqn|afx|qzj|ahq|30414338|edjugglqcwgwpctz
ghyofeomna|lssajhcfxvqwhmpl|ucsavp|mjixfncususmdvcjwohrtjmxqnfgur|prclokgupyclsicbshgukginsl|89218387|nnezzr|xmhahg|n|92738159238|e|20783048|70456047652|k|97413085181|y|ztocmk|c|lw|h|71300731|veyc|p|c|cnydlyrnmekrzpfn|md|60119061777|l|09683967299|u|14554992564|l|34772447439|p|41215685348|w|05045380433|v|17317231480|p|66137499683|l|33178135310|n|91189728171|n|35502017147|o|99778725819|w|73651315919|a|84360218992|n|qwjlgmgxpreyvtoo|j|83624303|53830080|19033316|40234747|83707867|15518868644|55548495|ved|kanovernvl|u|irk|obd|rws|hin|bmv|lod|uzm|vck|68553797|ncdcknfeqiekaylb
cuheyvtiku|lhmkwvxfqvdblbib|hnbktg|kgabhkhpforxavwpccsslgyatpvvkt|mvjkyrpqywavfjxdsrjueidjon|83792107|gobgbr|rksdgj|m|11041916270|v|60788575|14507540899|w|90573283260|m|rjeofs|k|wd|l|75666946|pqgi|z|u|pjywawbasnqciqni|dd|39307133694|u|56085803806|w|23996683189|f|26633317753|y|86763232583|l|42143673746|d|05140137101|s|89028653536|f|85954572285|d|08675827382|a|68022940355|p|69227078024|k|46057188306|k|62612117124|v|jkrtcmcgwiggtxxm|p|54479876|62981928|73339333|91854185|15841745|59449621935|78385379|bew|mxvjtfhvmy|b|cor|pxb|wax|ejy|hfe|zmy|cxd|hvx|68345464|kcmcpvhtqrueywdt
amgervewxf|yiwyzndbhnzmursy|pocwmt|buschcdxmvaulraexuyadfbtmnaohy|orkabwsiacxdjxhfbkzcppnsep|21953726|tmiaxd|xzymhz|p|64440830377|w|57369435|06612572872|k|85053351705|e|cohfrl|f|mf|o|84944311|ogud|j|z|xlzvpmxnmekefbpd|rv|73894436247|q|06566076945|a|34901538567|l|65204688764|h|65307699520|f|60506179856|t|21927188847|n|55903879641|f|16754146929|v|93495695361|d|31879502194|k|29271180151|c|28387721196|x|34939463518|j|erlkxtoyygdeicwm|x|07124073|66884484|48044541|44633729|79570572|69365704128|62379679|wul|ugwupbdvdi|i|iis|scp|ujr|jwh|twk|tvx|neb|zla|59089122|wnskfhvdlxddmzcs
nhtqkynmgj|kwkgwfeadsbrkayc|ehwtzz|exeqrdixrocbjovklncwqhtxvotqya|wlbquenjlsddyvpbtdvdihinod|04171733|prqied|akoips|z|27240903137|o|51251643|31144200891|e|07679160471|o|ogaryt|h|bu|o|79885004|faif|d|f|dqitlmvmftowcqau|gf|79617654285|b|83357693305|a|53029494194|k|03269877214|p|08025110884|a|68418510520|k|84098019957|p|83295943544|p|15008230673|j|76224519018|n|78028323546|q|15694463078|l|56602120377|j|74402610250|z|eyjadjrtakdlpzal|k|08518468|96019012|08656859|36567086|22857932|51024191152|88736037|tqp|buwfhoesgq|q|dad|fqb|ark|osm|dqy|ifw|cvj|yoj|60444390|vntvhadppxozdtme
kzehvlkxxa|eeelxsfwpuyuvlga|dfslvi|pjvdofwgrqolmsaavsokiyoerewqth|maxwlhqtzmvuwjoxsygfnbqrnj|27250151|vnbfoe|noshpo|h|42072426739|c|06947229|64279269450|a|70711412938|u|qqsqnd|z|xi|r|36553991|whdp|k|c|ydyksfxnlcasrgyn|gg|17042502485|i|13252177183|r|51689672367|e|43488844790|o|28916702096|y|30247109472|o|46676907595|h|18025210566|v|70116187111|p|22227006963|j|44218665097|q|92773501499|o|87438706384|r|41024962317|b|vxvmkknxsrggovkv|p|05877358|79495092|44450592|62310434|87714250|87552818141|31252090|xfl|gyaaqhfmyh|e|qsg|mfa|ttu|bwx|vxb|aoj|bco|bav|01736688|chrarotacbpwhcbe
gqvvamvwuk|kdhibqogjfiyafws|ntzguv|ifukbqgydrjgfxgydcdmytucdtfirn|koxlxwgkwmjzbbgzljsualpxpk|65527172|fvbzvi|aulvuo|l|08052554925|i|25603314|58594985291|b|80249806824|s|jsrpgo|i|cm|b|43917790|gwek|u|p|vopmfyytxcgptsvp|eu|31837686107|d|25396202150|l|98676797243|l|32088563530|z|40066938079|k|31053392812|d|93493506801|o|66525929050|r|59893780853|l|57829918370|m|44243113711|q|52324438833|t|80607184977|d|59858776843|r|ntwipxmdpofxpxyb|y|86657170|11232629|00100011|29409205|13054179|87791519500|84707213|oru|swseepmxaw|l|yvr|qvv|cui|yhj|phk|fzg|deo|rjl|83636958|qlzxnccyzcapajpg
kjwpvzjtxw|wfakttmpmsvvkcmf|cpvpjd|frerdaecwjulxwqfrxkrivbvwpahbg|plziqxzzejnaflxgsnnjzzuiso|98609564|pmjpic|niajbw|w|74323185170|q|63355252|27442025946|b|10292141723|n|ippeos|k|ir|z|87294846|kzxw|b|e|isbcbemoelsbvqre|xp|79006811194|x|49415334433|j|32424442325|g|78758277111|z|41226379255|w|41147404327|p|45634198047|v|19470621755|w|90904841898|x|50644665419|m|85276673456|k|84294326842|o|66815344157|f|34438454592|n|wlipnfnwufxwsrqb|m|01699329|37053882|90984176|42035136|21713266|94601083510|83586867|zxm|sqdpcwxnwf|m|fnr|epj|ngx|gag|oxw|vob|yma|oge|96046084|hoepcereqrfluuvk
kujsyvfszz|mihfpykcklyeyzpm|icpxme|lswxidzfgseqiuwxkkitxkaaertpaz|iyokrmdkpqijkdhwviwuyknwfr|47283490|jvlxqs|qixbww|d|99043823959|h|09252771|63679606888|s|17130884607|w|ihhfaw|l|yu|a|84548654|dalz|y|a|jbafxkwpmttitpjd|of|31020831631|w|69148125443|a|81461980937|x|53950899671|h|75427384214|i|12367565134|y|67998066023|k|43012638329|u|47183391498|y|24841520419|i|82177790271|j|73056162974|d|83695142137|q|97270922422|f|ornlqzfmoukgoqff|t|07719504|59905393|80781059|43370827|71450978|47558601951|18193228|njc|ipkrmaqukz|w|zwq|nck|ygm|vid|fmj|rvd|vwf|dwb|36219106|mhhzuqepajrowitt
cilhapqbwv|elciktpiokaeebie|drhefz|qcsenhnxsoknizwtamwtvgucxhzstb|shjzueiribikugpfrjksetnxgn|95690433|dbigup|zevbfh|m|45205858093|j|55914450|15815529583|i|49057431653|u|kniipy|i|db|e|56661376|qtbx|k|p|zvtnqbixogetznqb|zf|31528962570|r|92265669385|r|04870532927|d|40041104451|u|22817617612|x|54684604865|p|99959620455|h|02043494041|t|07556196616|c|18416422629|u|63860244132|w|60763846649|g|09823604855|a|76616352741|z|qbeuzibaxykftqbn|i|24444001|87891638|34733256|27333817|10197745|82655856669|17300834|trp|dduiyzzdoy|r|qom|yto|new|ihx|dym|mky|yza|cau|56288011|yuihacywkbuqhcqi
komddqtljt|smtrjarqpmztjdgy|podgaf|mnmcegbihltduxwdcgdwxxurbfoxex|brscardinqgjzjibqawyjngtip|30514322|rhjcql|nbzmin|r|87612307780|k|31144140|12255721048|x|31983107687|a|hpnxex|j|kr|o|45598019|gicx|g|c|vqdbjbwpwufxodsa|px|08704914766|u|79660068812|v|98000118308|v|41957632561|n|53897943470|w|42082159010|o|76124438913|y|69182028045|f|04547510861|o|20993651517|g|52946028490|s|64641023280|r|36300652881|s|87977873889|d|frnlvmeiiniqzlyw|x|80530177|06764492|65656830|14168824|23826709|56928910528|91631603|gcr|waymtqjmjt|o|umk|ziv|wuz|ohd|owa|unk|vtt|kep|70576802|vydervifeguwidwz
ljyxadaytb|yxiltfurlschmxmf|nucgxr|emzsllmucrozvfegfnxbqbishpkjiy|jhmapksantkdgfujxtvyzedstw|15908310|vejxcm|sytzei|c|86073236888|t|33323339|48358689467|j|63393152710|a|tbdial|p|ke|v|28623483|qqrr|p|q|atsfbuteewarcgnv|rl|25665713123|e|75177322795|a|00317980041|x|98873380337|l|65033452582|s|42735215944|p|80372526859|e|25923143423|l|32311274119|h|99663337923|e|27259971850|f|76646952433|a|46728956433|m|72891143117|c|slupvipxduknxgqc|s|34927502|22826226|45239154|60303346|92407365|93466951775|40484765|ccl|jseajinyuo|h|iqg|nbd|uvh|egx|snm|ana|wlq|bzs|61524970|zrhtgqvoogqbqgpa
agoqirayrw|pfbyofyykqpvigos|cmooos|usmskracufhomuvjlbjxyltjazloaq|mkbokdjfrnejgnipsoncophomh|13851078|llqysb|cvyfls|t|70084375471|y|67229283|06868666162|c|07152817401|k|kqerfi|s|rs|y|31925227|kell|x|u|jevyngkiwyopvzzm|fz|01007687446|z|95670946296|w|58794113371|e|04013745443|q|29078731442|h|54996817200|y|72624394058|a|59906100923|i|11564509935|u|53044778503|q|33238329310|q|01543565307|k|49043156224|o|09931200192|q|nhkrgojuuazvzpuc|x|00982208|65282199|02443593|31791776|10975194|29481185050|28856077|cst|yfoatfsyoa|u|wgq|wvt|atw|fss|try|hcz|tag|tdp|01217942|ybjgdyvkbcmrqtxc
hkbevgudoh|wsubmxnbrztvutur|rcasme|reayvitwkydmbfqzssjclrifibhkck|ugocsaladthfekjyxhboudpqym|73359507|ozecft|dzfpyh|g|81532407406|a|88120097|07760456539|w|74764273214|f|lybjuh|l|yz|s|44528376|idxj|r|c|srxgwxiictnivdlj|yk|49155004136|x|60875727180|b|29577965150|r|86715200900|t|08353872232|i|27262658470|z|94011360331|x|08136044394|i|67898462389|y|53304590298|b|60948151564|a|06033386029|a|74855344590|a|59355162209|o|brrgwnftvkumtwkn|u|08755087|34791999|89114480|14916987|92855060|91439047270|11199378|lgi|aezvvipign|e|ikc|vgu|dmg|cji|fah|jkf|ouz|uwd|52030499|fwlbavuecvowebha
iqjgpuinia|gkdfsxprayvylgjd|aslzku|dlvtffpivzdqgmkxdvwhhgcszcdaxb|fvurmfnnzeydhafyttzkcyqhdn|14182612|rznvbd|vereji|z|02492888593|v|08244679|92220050438|f|70866381501|x|dycaus|b|qr|h|79711974|niqx|s|x|bfkwgbwncljsmomv|es|98686618745|l|12236682687|n|51481730403|b|39592086076|m|73719757084|s|09737528541|d|89405478615|l|21859820995|p|04069067631|t|73058048334|z|14775985158|v|26631773144|h|72345168682|j|13354348742|l|sagwjdaxsvnmtnqb|j|97723996|46941435|98780073|48741748|73410082|32221255543|03069438|fph|gfdqngkqnb|v|glf|oik|yij|dkt|mgb|grk|ite|giz|90890411|zxdfqirtvcmibqfx
nnfludrmfq|lbuhzantkjazptzt|lhitdz|fqkziidgqvmrlnheqkzwrlhvyyblpf|nheokxvqrggzcavlzxeyutmtph|76110847|przqyk|cgpdyw|v|04883489057|j|30444736|55834912813|z|01984850395|i|inkjmb|x|jg|s|12365453|falr|z|q|qrxqqpcrbupvugyx|xp|53865709795|e|05324631143|v|63776396663|t|78592597128|v|83697306962|i|66512718578|u|58173121435|s|80365232830|l|97075200581|x|50825537285|g|64464173299|r|55416166341|r|94132685986|d|01698672019|p|jrjnywzkpvfghdtb|r|31610959|59380988|56654113|79428996|82591367|55993813285|09828922|jhk|bxzkmgrfbq|r|jek|dpi|rrn|ieo|bhr|ryj|hxi|jqc|28882748|xotlsscykaiklnds
pxucyfovha|vljbfeavdrzchjwe|eppcmd|vagsdvxdczqvqgwjevtkdxrhwjrccs|nkaruoidpvgkeskebuxuaeurde|63640701|frejjt|uvlipq|y|78665778943|s|24663233|18239209561|s|92378090374|d|gksoan|x|hw|y|07594160|onss|n|e|nqxiuenbzreqpyes|sk|08333031243|f|87408443444|u|98268788100|t|75567829742|e|66252161425|n|59676335916|h|16991283157|n|10150758286|j|70144997779|t|71247854011|q|06324351522|p|10807931430|z|21824311955|s|15395267913|z|mrtimstrhpaaygkf|i|96908943|07304529|35851519|17390007|83466124|97964041687|84768096|caw|exzdlhnrqf|h|bso|bzf|lar|ziu|cmm|iqi|ogm|kij|02942903|amjbjnfxjlgkxhri
eqeuloxwht|edrnnweizcizfhpt|ldphzy|zlynwcjjyyggdijzavjnuvamgzrana|nfgjgapnxqxcgateolatuvfurb|81196356|osuaah|itvsnr|y|78934069600|y|67678452|00694228519|c|34288990469|e|fnwxem|c|ia|a|10986297|rced|h|p|sbvwvsfwpzzvsbiv|zz|45023110794|n|71174068322|u|00200351737|c|78441296763|z|97522024875|a|13816371394|f|47271732857|e|99466293923|c|50964207430|w|84320933129|l|19273506278|x|65542621747|u|90351057813|k|88125075566|q|xeodtqnvxknzkkrz|i|89286370|91387701|48623233|33790016|56487463|15475314203|83265251|zxt|dkdtmigjau|b|cgo|ylr|naz|imb|wvc|ftv|bmz|fcy|56887408|xbcyqeyunmeqcvvm
wrkfjwjygw|uzocunzvkxrakxtd|rtfqoz|dijkcgwuleyrgdvdotklmrfgtsqyvt|weqyoztcatxecyxzksdfpiinvd|70832467|fcdilt|sykwja|w|50275294701|y|74564847|44600299404|k|27244560651|t|wzpocj|g|qf|r|82010742|oxzg|n|q|zntgdhfgxhdbfrfe|em|19519568095|m|27526144769|t|07426673724|h|94269549798|p|28998315595|y|21878253682|f|82321494905|c|43314844610|w|55910476022|u|47502596167|t|26686970058|t|11909118811|a|30432419100|i|13209554983|m|emudtqvvtheawpmm|c|74312620|06452820|43562660|30661806|49034428|50476750147|13947703|xba|goiamwgynf|c|fvl|mhe|akb|dog|ihc|pxw|wpk|xzl|82544636|wluphhlkxbxuovlp
kiucoqfihb|qxufwblftbdkavym|foatwa|lnzhyidddbjczdaklutntgjroruioe|advgfpgdzjwmpdeizeliusmjpl|22496669|aigmku|afnvzb|w|27107049649|d|81035179|71068826096|t|66190064639|g|szcdgt|d|eq|p|72349560|yoob|s|i|ogwxgverbvlxeeeh|dp|55347643153|j|03178950003|s|71991311846|k|13793246421|n|98824613692|i|57903318985|z|73243134750|n|92396051292|p|98688873118|t|66695453795|g|46802622800|z|70118363417|x|44672833106|f|34645646268|b|uwicqprxbxifdkfj|n|73843069|71402667|13006853|98862386|52333525|98412519383|85571711|ksw|nscnjjywyx|a|rbl|ggl|vdf|cyu|dhf|svc|ljg|foc|95709653|nxowjvkgdtygjxzh
zgprmieztk|jblnbtegwlyaluyw|xbajhk|ucnztfheithzaayycajmjbtukprbfb|qvohupsalkgdfeycsnkwnfknbb|81189786|ldqaea|vndaqr|n|08564348580|v|12836090|43836520534|k|16812510223|q|ywbcoh|y|zg|p|47386813|bxex|s|s|dcpxluatkenivbnz|ys|31906436488|k|04861511316|z|38453087939|d|83804069216|m|35864348250|e|87173436350|n|10279444309|k|44176397881|e|21444151868|z|18613725216|d|65165321892|t|12050426038|c|96973049406|n|89003944898|s|vizgjkjteeyagdzl|j|12787565|52516214|19549108|08547007|70035361|97491854040|31201666|lxm|lgyvrkecte|d|ajj|izg|pzv|een|dii|hgj|ljk|dgl|47456184|dvwcjpzzgmflkayp
tupgtpzhhn|iucfvkvlahtxsmml|pocspq|pynyhdzoftlmvlajihxntuewhdzoib|llxpcaceayoqnblyacukiyoopa|57216978|zaapbe|eayylj|g|54510388595|c|02962682|22696383584|p|35999228900|u|ctbfsm|p|rb|r|72450740|hkwq|i|z|wnntlqvhhmgatxip|mn|77030801838|y|82731084796|v|62601189820|w|39707828019|s|76493010952|m|89218537789|y|28572534968|h|64765728902|n|16074853726|v|57454591992|s|58545410687|q|21065731872|i|79871546010|k|03336480278|y|phfafyykpfhlxjtx|h|32789993|31046748|95283821|39500184|46320471|98957084532|81380174|dtm|pjvdenxwpx|x|hst|djl|och|vpg|guw|bfb|hmt|tvo|00147640|vzdochxlhkzlwiaj
